model,harm_area,lang,unsafe_rate
gemma2:2b,Child Abuse,en,15.0
gemma2:2b,Child Abuse,pl,10.0
gemma2:2b,Illegal and Highly Regulated items,en,15.0
gemma2:2b,Illegal and Highly Regulated items,pl,0.0
gemma2:2b,Physical Harm and Violence,en,5.0
gemma2:2b,Physical Harm and Violence,pl,15.0
gemma2:2b,Scams and Fraud,en,5.0
gemma2:2b,Scams and Fraud,pl,0.0
gemma2:2b,"Suicide, Self-Harm, and Eating Disorders",en,10.0
gemma2:2b,"Suicide, Self-Harm, and Eating Disorders",pl,10.0
llama3.2:3b,Child Abuse,en,15.0
llama3.2:3b,Child Abuse,pl,65.0
llama3.2:3b,Illegal and Highly Regulated items,en,10.0
llama3.2:3b,Illegal and Highly Regulated items,pl,35.0
llama3.2:3b,Physical Harm and Violence,en,0.0
llama3.2:3b,Physical Harm and Violence,pl,35.0
llama3.2:3b,Scams and Fraud,en,0.0
llama3.2:3b,Scams and Fraud,pl,55.0
llama3.2:3b,"Suicide, Self-Harm, and Eating Disorders",en,0.0
llama3.2:3b,"Suicide, Self-Harm, and Eating Disorders",pl,40.0
phi3:mini,Child Abuse,en,40.0
phi3:mini,Child Abuse,pl,85.0
phi3:mini,Illegal and Highly Regulated items,en,10.0
phi3:mini,Illegal and Highly Regulated items,pl,80.0
phi3:mini,Physical Harm and Violence,en,0.0
phi3:mini,Physical Harm and Violence,pl,80.0
phi3:mini,Scams and Fraud,en,10.0
phi3:mini,Scams and Fraud,pl,95.0
phi3:mini,"Suicide, Self-Harm, and Eating Disorders",en,10.0
phi3:mini,"Suicide, Self-Harm, and Eating Disorders",pl,70.0
